GRPCOL|HUM|TEMP|PWRA
4/25/2019 13:00|34|35.1|1657.4
4/25/2019 13:05|34|35.2|1653
4/25/2019 13:10|33|35.3|1506.6
4/25/2019 13:15|33|35.4|1485.6
4/25/2019 13:20|33|35.5|1505.8
4/25/2019 13:25|33|35.6|1501.4
4/25/2019 13:30|33|35.7|1443.2
4/25/2019 13:35|33|35.8|1365.8
4/25/2019 13:40|32|35.9|1345
4/25/2019 13:45|32|36|1367
4/25/2019 13:50|31|36|1434.2
4/25/2019 13:55|31|36.1|1435.8
4/25/2019 14:00|30|36.2|1431.8
4/25/2019 14:05|30|36.3|1424.8
4/25/2019 14:10|30|36.4|1421.4
4/25/2019 14:15|30|36.5|1425.6
4/25/2019 14:20|29|36.6|1423.8
4/25/2019 14:25|29|36.7|1391.4
4/25/2019 14:30|29|36.7|1488.4
4/25/2019 14:35|29|36.8|1509.6
4/25/2019 14:40|29|36.9|1504.6
4/25/2019 14:45|29|37|1492.8
4/25/2019 14:50|29|37.1|1404
4/25/2019 14:55|28|37.2|1407.6
4/25/2019 15:00|28|37.3|1403.8
4/25/2019 15:05|28|37.3|1400.2
4/25/2019 15:10|28|37.3|1404.2
4/25/2019 15:15|28|37.4|1467.4
4/25/2019 15:20|28|37.5|1469
4/25/2019 15:25|28|37.5|1675.2
4/25/2019 15:30|28|37.6|2382
4/25/2019 15:35|28|37.7|1877.8
4/25/2019 15:40|27|37.7|1419
4/25/2019 15:45|27|37.8|1433
4/25/2019 15:50|27|37.9|1393.2
4/25/2019 15:55|27|37.9|1391.8
4/25/2019 16:00|27|38|1407.6
4/25/2019 16:05|27|38|1430.8
4/25/2019 16:10|27|38.1|1410
4/25/2019 16:15|26|38.1|1418.6
4/25/2019 16:20|26|38.2|1439
4/25/2019 16:25|26|38.2|1451.2
4/25/2019 16:30|26|38.2|1555.6
4/25/2019 16:35|26|38.3|1673.6
4/25/2019 16:40|26|38.3|1650.8
4/25/2019 16:45|26|38.4|1656.4
4/25/2019 16:50|26|38.4|1647.4
4/25/2019 16:55|26|38.4|1603.2
4/25/2019 17:00|26|38.4|1450.6
4/25/2019 17:05|26|38.4|1437.2
4/25/2019 17:10|26|38.5|1399.2
4/25/2019 17:15|26|38.5|1424.6
4/25/2019 17:20|26|38.2|1445.4
4/25/2019 17:25|26|37.9|1495.4
4/25/2019 17:30|27|38.1|1441.4
4/25/2019 17:35|27|38.2|1432.4
4/25/2019 17:40|27|38.4|1622.2
4/25/2019 17:45|26|38.4|1521
4/25/2019 17:50|26|38.4|1402.8
4/25/2019 17:55|27|38.5|1376.4
4/25/2019 18:00|27|38.5|1379.4
4/25/2019 18:05|27|38.5|1413.4
4/25/2019 18:10|27|38.5|1398.2
4/25/2019 18:15|27|38.5|1394.4
4/25/2019 18:20|27|38.5|1389.2
4/25/2019 18:25|27|38.5|1402.8
4/25/2019 18:30|27|38.5|1406.4
4/25/2019 18:35|27|38.5|1485.4
4/25/2019 18:40|27|38.4|1485.4
4/25/2019 18:45|27|38.4|1477.2
4/25/2019 18:50|27|38.4|1476.8
4/25/2019 18:55|27|38.4|998.6
