"""GRPCOL""","""HUM""","""TEMP""","""PWRA"""
43580.54167,34,35.1,1657.4
43580.54514,34,35.2,1653
43580.54861,33,35.3,1506.6
43580.55208,33,35.4,1485.6
43580.55556,33,35.5,1505.8
43580.55903,33,35.6,1501.4
43580.5625,33,35.7,1443.2
43580.56597,33,35.8,1365.8
43580.56944,32,35.9,1345
43580.57292,32,36,1367
43580.57639,31,36,1434.2
43580.57986,31,36.1,1435.8
43580.58333,30,36.2,1431.8
43580.58681,30,36.3,1424.8
43580.59028,30,36.4,1421.4
43580.59375,30,36.5,1425.6
43580.59722,29,36.6,1423.8
43580.60069,29,36.7,1391.4
43580.60417,29,36.7,1488.4
43580.60764,29,36.8,1509.6
43580.61111,29,36.9,1504.6
43580.61458,29,37,1492.8
43580.61806,29,37.1,1404
43580.62153,28,37.2,1407.6
43580.625,28,37.3,1403.8
43580.62847,28,37.3,1400.2
43580.63194,28,37.3,1404.2
43580.63542,28,37.4,1467.4
43580.63889,28,37.5,1469
43580.64236,28,37.5,1675.2
43580.64583,28,37.6,2382
43580.64931,28,37.7,1877.8
43580.65278,27,37.7,1419
43580.65625,27,37.8,1433
43580.65972,27,37.9,1393.2
43580.66319,27,37.9,1391.8
43580.66667,27,38,1407.6
43580.67014,27,38,1430.8
43580.67361,27,38.1,1410
43580.67708,26,38.1,1418.6
43580.68056,26,38.2,1439
43580.68403,26,38.2,1451.2
43580.6875,26,38.2,1555.6
43580.69097,26,38.3,1673.6
43580.69444,26,38.3,1650.8
43580.69792,26,38.4,1656.4
43580.70139,26,38.4,1647.4
43580.70486,26,38.4,1603.2
43580.70833,26,38.4,1450.6
43580.71181,26,38.4,1437.2
43580.71528,26,38.5,1399.2
43580.71875,26,38.5,1424.6
43580.72222,26,38.2,1445.4
43580.72569,26,37.9,1495.4
43580.72917,27,38.1,1441.4
43580.73264,27,38.2,1432.4
43580.73611,27,38.4,1622.2
43580.73958,26,38.4,1521
43580.74306,26,38.4,1402.8
43580.74653,27,38.5,1376.4
43580.75,27,38.5,1379.4
43580.75347,27,38.5,1413.4
43580.75694,27,38.5,1398.2
43580.76042,27,38.5,1394.4
43580.76389,27,38.5,1389.2
43580.76736,27,38.5,1402.8
43580.77083,27,38.5,1406.4
43580.77431,27,38.5,1485.4
43580.77778,27,38.4,1485.4
43580.78125,27,38.4,1477.2
43580.78472,27,38.4,1476.8
43580.78819,27,38.4,998.6
43580.79167,27,38.4,956.6
43580.79514,27,38.4,914.2
43580.79861,28,38.4,913.6
43580.80208,28,38.3,776.2
43580.80556,28,38.3,355.4
43580.80903,28,38.3,1406.4
43580.8125,28,38.3,1533.8
43580.81597,28,38.3,1571
43580.81944,28,38.2,1562
43580.82292,28,38,1590.6
43580.82639,28,37.9,1542.4
43580.82986,29,38,1543.2
43580.83333,29,38,1545.6
43580.83681,29,38,1636.6
43580.84028,29,38,1543.4
43580.84375,29,38,1538.4
43580.84722,29,38,1555.8
43580.85069,29,38,1545.4
43580.85417,29,38,1553.6
43580.85764,29,37.9,1542
43580.86111,29,37.9,1545.6
43580.86458,30,37.9,1681.8
43580.86806,30,37.9,1706.8
43580.87153,30,37.8,1700.6
43580.875,30,37.8,1646.2
43580.87847,30,37.8,1550.8
43580.88194,30,37.7,1532.2
43580.88542,30,37.7,1539.6
43580.88889,30,37.7,1549.2
43580.89236,30,37.6,1550.4
43580.89583,30,37.6,1565.6
43580.89931,30,37.6,1576
43580.90278,30,37.5,1559.4
43580.90625,30,37.5,1502.6
43580.90972,30,37.5,1506.8
43580.91319,30,37.5,1509
43580.91667,30,37.4,1501.4
43580.92014,30,37.4,1494.4
43580.92361,31,37.3,1515
43580.92708,31,37.3,1711.6
43580.93056,31,37.3,1647.6
43580.93403,31,37.3,1730
43580.9375,31,37.3,1705.8
43580.94097,31,37.3,1705.6
43580.94444,31,37.3,1727
43580.94792,31,37.2,1772.2
43580.95139,32,37.2,1768
43580.95486,32,37.1,1774.8
43580.95833,32,37.1,1941.2
43580.96181,32,37.1,2004
43580.96528,32,37,1986
43580.96875,32,37,1996.6
43580.97222,32,37,2032.8
43580.97569,32,36.9,1990.6
43580.97917,33,36.9,2008
43580.98264,33,36.9,1973.2
43580.98611,33,36.8,2265.4
43580.98958,33,36.8,4173.6
43580.99306,34,36.5,4151.6
43580.99653,34,36.4,3272.8
43581,35,36.3,1728.2
43581.00347,35,36.2,1743.8
43581.00694,36,36.2,1898.8
43581.01042,36,35.8,1863.4
43581.01389,36,35.1,1866
43581.01736,35,34.5,1906.4
43581.02083,35,34.1,3922.4
43581.02431,34,33.8,8267
43581.02778,34,33.6,8496
43581.03125,33,33.4,8610
43581.03472,33,33.1,8723.4
43581.03819,33,32.8,8742.4
43581.04167,33,32.6,8638.6
43581.04514,33,32.5,8534.6
43581.04861,33,32.4,8538.4
43581.05208,33,32.2,8573.8
43581.05556,33,32.1,8562.6
43581.05903,33,32,8689
43581.0625,33,31.7,8611.8
43581.06597,33,31.7,8604.4
43581.06944,33,31.7,8689.8
43581.07292,33,31.5,8590.8
43581.07639,33,31.4,8663.6
43581.07986,33,31.3,8732.4
43581.08333,33,31.2,8592.2
43581.08681,33,31.2,8554.8
43581.09028,33,31.1,8599.2
43581.09375,34,31,8708.8
43581.09722,34,31,8806.6
43581.10069,34,30.9,8745.6
43581.10417,34,30.8,8759.8
43581.10764,34,30.7,8769.8
43581.11111,34,30.7,8773
43581.11458,34,30.6,8727.4
43581.11806,34,30.5,8734.6
43581.12153,34,30.4,8774.4
43581.125,34,30.3,8744.6
43581.12847,34,30.3,8741.2
43581.13194,34,30.2,8731
43581.13542,34,30.1,8657
43581.13889,34,29.8,8246.6
43581.14236,34,29.7,8252.6
43581.14583,34,29.7,8175
43581.14931,34,29.6,8082
43581.15278,34,29.5,7852
43581.15625,34,29.5,7729.4
43581.15972,34,29.4,8790.8
43581.16319,35,29.4,8801.4
43581.16667,34,29.7,8828.2
43581.17014,34,30.4,8825.4
43581.17361,35,30.8,8725.6
43581.17708,35,31.1,8540.8
43581.18056,36,31.3,1725.2
43581.18403,36,31.5,1905.6
43581.1875,37,31.6,1917.4
43581.19097,37,31.7,1907.8
43581.19444,38,31.7,1916.2
43581.19792,38,31.7,1912.8
43581.20139,38,31.8,1904.8
43581.20486,39,31.9,1900
43581.20833,39,31.9,1916.6
43581.21181,39,32,1902.2
43581.21528,40,32,1894.6
43581.21875,40,32,1903
43581.22222,40,32.1,1900.4
43581.22569,40,32.1,1896.2
43581.22917,41,32.1,1887.2
43581.23264,41,32.1,1881.2
43581.23611,41,32.2,1890
43581.23958,41,32.2,1894.4
43581.24306,42,32.2,1893.6
43581.24653,42,32.2,1883.8
43581.25,42,32.2,1876.4
43581.25347,42,32.2,1878.8
43581.25694,43,32.2,1878
43581.26042,43,32.2,1875.2
43581.26389,43,32.2,1878.6
43581.26736,43,32.2,1882.2
43581.27083,43,32.2,1873.4
43581.27431,43,32.2,1858.8
43581.27778,44,32.2,1869.4
43581.28125,44,32.2,1863.6
43581.28472,44,32.2,1856.8
43581.28819,44,32.2,1842
43581.29167,44,32.2,1787.2
43581.29514,44,32.2,1786.4
43581.29861,45,32.2,1781.4
43581.30208,45,32.2,1789.8
43581.30556,45,32.2,1793.6
43581.30903,45,32.2,1809.8
43581.3125,45,32.2,1827
43581.31597,45,32.2,1839
43581.31944,45,32.2,1699.4
43581.32292,45,32.2,1640.4
43581.32639,45,32.3,1656.4
43581.32986,45,32.3,1655.6
43581.33333,45,32.3,1670.4
43581.33681,45,32.3,1683.4
43581.34028,45,32.3,1667.4
43581.34375,45,32.3,1696.4
43581.34722,45,32.3,1692.8
43581.35069,45,32.3,1700.8
43581.35417,45,32.3,1673.2
43581.35764,44,32.3,1673.6
43581.36111,44,32.3,1672
43581.36458,44,32.3,1686.8
43581.36806,43,32.4,1696.4
43581.37153,42,32.4,1662.2
43581.375,41,32.4,1685.6
43581.37847,40,32.4,1710.4
43581.38194,40,32.5,1701.2
43581.38542,39,32.5,1702.8
43581.38889,39,32.5,1678.4
43581.39236,39,32.5,1668.6
43581.39583,39,32.6,1697.4
43581.39931,39,32.6,1660.4
43581.40278,39,32.6,1661.4
43581.40625,38,32.7,1660.8
43581.40972,38,32.7,1643.4
43581.41319,38,32.8,1640.6
43581.41667,38,32.8,1640.2
43581.42014,38,32.9,1640.8
43581.42361,38,32.9,1657.6
43581.42708,38,33,1533.6
43581.43056,38,33,1411.2
43581.43403,38,33.1,1429.4
43581.4375,38,33.1,1419.6
43581.44097,38,33.2,1413.8
43581.44444,38,33.2,1383.8
43581.44792,38,33.3,1380.2
43581.45139,38,33.4,1386
43581.45486,38,33.4,1413
43581.45833,37,33.5,1362.6
43581.46181,37,33.6,1350.6
43581.46528,37,33.6,1389.6
43581.46875,37,33.7,1485.8
43581.47222,37,33.7,1479.4
43581.47569,37,33.8,1608
43581.47917,37,33.9,1663.2
43581.48264,37,34,1506
43581.48611,37,34.1,1246.6
43581.48958,37,34.1,1148.6
43581.49306,37,34.2,1085.4
43581.49653,37,34.2,1098.8
43581.5,37,34.3,1100.8
43581.50347,37,34.4,814.2
43581.50694,37,34.5,796.8
43581.51042,36,34.6,1736.6
43581.51389,36,34.7,1523
43581.51736,36,34.8,1456.8
43581.52083,35,34.9,1498
43581.52431,35,35,1517.2
43581.52778,34,35.1,1518.2
43581.53125,34,35.2,1452.4
43581.53472,34,35.3,1436.8
43581.53819,34,35.4,1480
43581.54167,33,35.4,1529.6
43581.54514,33,35.5,1643.4
43581.54861,33,35.6,1654.2
43581.55208,32,35.7,1667.4
43581.55556,32,35.8,1510.4
43581.55903,32,35.9,1490.2
43581.5625,32,36,1510.6
43581.56597,32,36.1,1522.2
43581.56944,32,36.2,1438.2
43581.57292,32,36.3,1401.6
43581.57639,32,36.4,1435.4
43581.57986,31,36.5,1434.6
43581.58333,31,36.6,1408.8
43581.58681,31,36.6,1392.4
43581.59028,30,36.7,1397.2
43581.59375,31,36.5,1395.8
43581.59722,31,36.5,1394.6
43581.60069,31,36.5,1389.8
43581.60417,31,36.5,1496
43581.60764,31,36.6,1684.6
43581.61111,30,36.7,1691.2
43581.61458,30,36.7,1684.6
43581.61806,30,36.8,1673.4
43581.62153,29,36.9,1667.6
43581.625,29,37,1656
43581.62847,28,37,1675.2
